epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.67558,1.23895,0.99218,1.25169,0.57357,0.53118,0.51924,0.31762,1.56136,1.83438,1.5594,0.000545182,0.000545182,0.000545182
2,17.0782,1.38942,1.25651,1.38414,0.63512,0.52656,0.56577,0.30187,1.76911,3.69553,2.01494,0.00107905,0.00107905,0.00107905
3,24.3864,1.47131,1.41329,1.43415,0.55066,0.4157,0.44848,0.24261,1.87119,2.39888,1.98003,0.00159092,0.00159092,0.00159092
4,31.6534,1.4924,1.40973,1.46112,0.40129,0.46651,0.3251,0.16024,1.80368,4.03287,1.92563,0.00156798,0.00156798,0.00156798
5,38.8808,1.50827,1.42862,1.47841,0.49312,0.36028,0.37687,0.21232,1.86253,2.43785,2.09654,0.00153497,0.00153497,0.00153497
6,46.1211,1.46381,1.32491,1.44352,0.69238,0.5822,0.65656,0.38023,1.6421,1.40229,1.65442,0.00150197,0.00150197,0.00150197
7,53.3879,1.45841,1.29975,1.4417,0.68736,0.59916,0.66883,0.3718,1.6171,1.52042,1.63629,0.00146896,0.00146896,0.00146896
8,60.5814,1.39045,1.21157,1.38272,0.84327,0.64203,0.7529,0.45106,1.41752,1.27852,1.51156,0.00143595,0.00143595,0.00143595
9,67.9545,1.37523,1.22689,1.38332,0.74122,0.68822,0.73396,0.42035,1.53065,1.12403,1.51228,0.00140295,0.00140295,0.00140295
10,75.2077,1.36079,1.18093,1.37557,0.68891,0.52166,0.58547,0.33934,1.59627,1.79239,1.65192,0.00136994,0.00136994,0.00136994
11,82.601,1.38284,1.19562,1.40453,0.7665,0.64203,0.7143,0.4202,1.538,1.29478,1.62047,0.00133693,0.00133693,0.00133693
12,89.9598,1.31501,1.1297,1.33908,0.86658,0.69284,0.79258,0.48643,1.4174,1.01098,1.4756,0.00130393,0.00130393,0.00130393
13,97.4562,1.31084,1.06869,1.33038,0.78534,0.65903,0.76013,0.47677,1.42181,1.04639,1.51203,0.00127092,0.00127092,0.00127092
14,104.875,1.30313,1.07835,1.33302,0.79021,0.66112,0.7497,0.45396,1.43977,1.17269,1.47142,0.00123791,0.00123791,0.00123791
15,112.212,1.26857,1.02531,1.31556,0.80968,0.70901,0.79213,0.48466,1.3673,1.01745,1.44986,0.00120491,0.00120491,0.00120491
16,119.412,1.2375,1.0099,1.28321,0.82261,0.63189,0.71684,0.41987,1.48463,1.12754,1.48348,0.0011719,0.0011719,0.0011719
17,126.632,1.22809,0.9688,1.26895,0.8417,0.69053,0.77744,0.45582,1.47692,1.11459,1.48009,0.00113889,0.00113889,0.00113889
18,133.794,1.21018,0.98283,1.26364,0.87651,0.68129,0.80304,0.50713,1.3235,0.91913,1.40228,0.00110589,0.00110589,0.00110589
19,141.445,1.20156,0.94558,1.26131,0.8103,0.65127,0.77322,0.48222,1.39861,0.98884,1.45059,0.00107288,0.00107288,0.00107288
20,148.826,1.17128,0.93378,1.24696,0.86206,0.72979,0.82459,0.52414,1.32358,0.89187,1.42478,0.00103987,0.00103987,0.00103987
21,156.21,1.19235,0.92123,1.23989,0.83942,0.70208,0.7981,0.51968,1.29346,0.94144,1.35785,0.00100687,0.00100687,0.00100687
22,163.438,1.16647,0.89321,1.21954,0.80502,0.67667,0.76926,0.49006,1.35965,1.08706,1.41265,0.000973861,0.000973861,0.000973861
23,170.755,1.1641,0.88141,1.23571,0.80725,0.74478,0.81159,0.5358,1.24367,0.87271,1.35638,0.000940855,0.000940855,0.000940855
24,178.24,1.13238,0.8582,1.21995,0.82228,0.74365,0.81698,0.53424,1.27869,0.8519,1.37361,0.000907848,0.000907848,0.000907848
25,185.775,1.13237,0.8483,1.22031,0.81682,0.75176,0.82909,0.5314,1.3061,0.7952,1.40368,0.000874842,0.000874842,0.000874842
26,193.034,1.12615,0.82965,1.21629,0.83873,0.74596,0.82847,0.54567,1.24592,0.86175,1.33253,0.000841835,0.000841835,0.000841835
27,200.178,1.09938,0.82171,1.19408,0.83292,0.70901,0.8,0.52169,1.29561,0.88259,1.37051,0.000808828,0.000808828,0.000808828
28,207.383,1.08874,0.82164,1.18961,0.80305,0.78753,0.83227,0.54146,1.28396,0.8179,1.37972,0.000775822,0.000775822,0.000775822
29,214.544,1.08237,0.78344,1.18086,0.87476,0.75813,0.85478,0.56872,1.2205,0.74526,1.32728,0.000742815,0.000742815,0.000742815
30,221.813,1.01921,0.73368,1.14475,0.83758,0.7384,0.81549,0.50377,1.37805,0.86324,1.44008,0.000709809,0.000709809,0.000709809
31,228.975,1.03184,0.73955,1.14633,0.87182,0.74134,0.85189,0.56637,1.22438,0.72335,1.35947,0.000676802,0.000676802,0.000676802
32,236.186,1.01467,0.72564,1.13693,0.89774,0.72286,0.81983,0.56928,1.14361,0.87145,1.26505,0.000643795,0.000643795,0.000643795
33,243.492,1.00297,0.72923,1.14985,0.87682,0.71824,0.82717,0.55496,1.21281,0.80971,1.31019,0.000610789,0.000610789,0.000610789
34,250.796,1.01545,0.73383,1.1471,0.85921,0.75982,0.83889,0.56694,1.2378,0.8675,1.34224,0.000577782,0.000577782,0.000577782
35,258.069,0.98531,0.68407,1.13007,0.87367,0.72517,0.82608,0.55741,1.23317,0.79707,1.31961,0.000544776,0.000544776,0.000544776
36,265.387,0.97979,0.68098,1.12921,0.86997,0.73672,0.8423,0.56747,1.23375,0.75759,1.36661,0.000511769,0.000511769,0.000511769
37,272.67,0.99519,0.69643,1.13953,0.88228,0.75058,0.85147,0.58139,1.21166,0.71727,1.33401,0.000478762,0.000478762,0.000478762
38,280.04,0.96059,0.65661,1.111,0.88939,0.75289,0.85522,0.584,1.17634,0.72236,1.32489,0.000445756,0.000445756,0.000445756
39,287.481,0.95211,0.65623,1.10643,0.8643,0.77959,0.85358,0.57732,1.22556,0.69828,1.32043,0.000412749,0.000412749,0.000412749
40,294.817,0.94458,0.64026,1.09354,0.85613,0.76958,0.85242,0.58349,1.19845,0.76521,1.30399,0.000379743,0.000379743,0.000379743
41,316.125,0.85736,0.57516,1.0606,0.84129,0.79446,0.85865,0.58286,1.19529,0.73157,1.31513,0.000346736,0.000346736,0.000346736
42,323.478,0.84111,0.52782,1.03503,0.86873,0.76417,0.85303,0.58381,1.20104,0.69391,1.29299,0.000313729,0.000313729,0.000313729
43,330.668,0.81603,0.50423,1.02239,0.88313,0.77829,0.86518,0.58964,1.18335,0.69384,1.32352,0.000280723,0.000280723,0.000280723
44,338.007,0.80025,0.49941,1.02254,0.89127,0.76443,0.8644,0.58322,1.20607,0.68066,1.35849,0.000247716,0.000247716,0.000247716
45,345.249,0.78581,0.48492,1.0069,0.88733,0.78209,0.86984,0.59166,1.16311,0.64997,1.32603,0.00021471,0.00021471,0.00021471
46,352.762,0.75277,0.46284,0.98733,0.8752,0.77737,0.86206,0.59212,1.17273,0.6948,1.30901,0.000181703,0.000181703,0.000181703
47,360.121,0.76038,0.46278,0.99298,0.91184,0.73903,0.86424,0.60258,1.14205,0.68896,1.27004,0.000148696,0.000148696,0.000148696
48,367.537,0.74878,0.44088,0.97875,0.89901,0.7401,0.85914,0.59967,1.16188,0.68971,1.30183,0.00011569,0.00011569,0.00011569
49,374.844,0.72709,0.43315,0.97294,0.88109,0.76905,0.86913,0.60049,1.16413,0.68169,1.31106,8.26832e-05,8.26832e-05,8.26832e-05
50,382.07,0.72053,0.43094,0.98046,0.87335,0.77367,0.87036,0.59866,1.15236,0.67396,1.30115,4.96766e-05,4.96766e-05,4.96766e-05
